--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:2nd week of Feb.2024,, ,,,,,,,,
Sinhala Name,,Common Name,2nd week of Feb.,1st week of Feb.,2nd week of Feb.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),2250,1740,1585.71,-0.08867241379310342,-0.29524,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1200,1135.71,1057.14,-0.06918139313733254,-0.11904999999999992,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1183.33,1325,1041.67,-0.21383396226415088,-0.11971301327609361, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),960,1050,850,-0.19047619047619047,-0.11458333333333333,, ,, , , ,,,
5,තලපත්,Sail fish,1557.14,1753.57,1671.43,-0.0468415860216586,0.0733973823805181,,,,, ,,,,
6,බලයා,Skipjack tuna,721.43,632.14,585.71,-0.0734489195431391,-0.18812636014582138, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1178.57,1245.83,1166.67,-0.06353996933771049,-0.010096981935735565, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,416.43,309.29,372.5,0.2043713020142907,-0.10549191941022502,,,,,,,,,
9,මෝරා,Sharks,957.14,933.33,941.67,0.008935746199093481,-0.016162734814133804,,, ,, , ,,,
10,හුරුල්ලා,Herrings,729.17,739.29,692.86,-0.06280350065603478,-0.049796343788142614,,,,,,,,,
11,කුම්බලා,Indian Mackerel,807.14,711.43,720.83,0.013212824873845763,-0.10693312188715706,,,,,,,,,
12,කාරල්ලා,Pony fish,371.43,218.75,310,0.41714285714285715,-0.16538782543144068,,,,,,,,,
13,කටුවල්ලා,Katuwalla,530,433.33,500,0.1538550296540743,-0.05660377358490566,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,485.71,466.67,420,-0.10000642852551056,-0.13528648782195132,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1557.14,1357.14,1485.71,0.09473598891787136,-0.04587256123405735,,,,,,,,,
16, කොප්පරා,Marlins,1871.43,2085.71,1921.43,-0.07876454540660013,0.026717536856842094,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),755,775,514.29,-0.33640000000000003,-0.3188211920529802,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,835.71,841.67,758.33,-0.09901742963394194,-0.09259192782185206,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1233.33,1160,1150,-0.008620689655172414,-0.06756504747310123,,,,,,,,,
20,බෝල්ලා,Big eye scade,850,585.71,614.29,0.048795478991309565,-0.27730588235294124,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1116.67,1100,920,-0.16363636363636364,-0.17612186232279908,, ,,, ,,,,
22,හබරලි,Needle fish,971.43,920,835.71,-0.09161956521739127,-0.1397115592477069,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1185.71,1242.84,1200,-0.03446944095780625,0.012051850789822101,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1216.67,875,1242.86,0.42041142857142844,0.02152596842200418,,, ,,,,,,
25,ලින්නා,Indian Scad(L),700,525,534.29,0.017695238095238024,-0.23672857142857148,,, ,,,,,,
26,ලින්නා,Indian Scad(S),592.86,418.57,417.86,-0.0016962515230426918,-0.29517930034072126,,,,  ,,,,,
27,ලේන පරව්,Rainbow Runner,721.43,640,628.57,-0.01785937499999992,-0.1287165767988577,,,,,,,,,
28,සුද්දා,Threadfin  Bream,1000,971.43,928.57,-0.04412052335217144,-0.07142999999999995,,, ,,,,,, 
29,සූඩයා,White Sardinella,329,228,282.86,0.24061403508771936,-0.14024316109422488,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1600,1500,1542.86,0.028573333333333267,-0.035712500000000064,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2214.29,2208.33,1914.29,-0.1331503896609655,-0.13548360874140244,,,, ,,,,,
32,තිලාපියා,Tilapia (M),400,,,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2023,2024,,Compared to Average of 2nd  week of  February 2024,,,,,,,,
Sinhala Name,,Common Name,Average of 2nd  week of  February,Average of 1st  week of  February,Average of 2nd  week of  February,Last week ,Last Year,,, ,,,,
1,තෝරා,Seer,3625,3420,3396,-0.007017543859649123,-0.06317241379310345,,,,,,, 
2,පරව් (ලොකු),Trevally (L),2395,2336,2276,-0.025684931506849314,-0.049686847599164925,, ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2390,2280,2056,-0.09824561403508772,-0.1397489539748954,,,,,,,
4,තලපත්,Sail fish,2646.67,2820,2706,-0.04042553191489362,0.022416848341500803,,,,,,,
5,බලයා,Skipjack tuna,1405,1195,1228,0.027615062761506277,-0.12597864768683273,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2297,2223,2263,0.01799370220422852,-0.014801915542011318,,,, ,,,
7,සාලයා (මට්ට),Sardinella,713,610,685,0.12295081967213115,-0.03927068723702665,,,,,,,
8,මෝරා,Shark,1773,1893,2015,0.06444796619123085,0.13649182177100957,,,,,,,
9,හුරුල්ලා,Herrings,1080,920,974,0.058695652173913045,-0.09814814814814815,,,,,,,
10,කුම්බලා,Indian mackerel,1065,1003,1017,0.013958125623130608,-0.04507042253521127,,,,,,,
11,කාරල්ලා,Pony fish,410,,460,,0.12195121951219512,,,,,,,
12,කටුවල්ලා,Katuwalla,1020,720,,,,,,,,,,
13,හාල්මැස්සා,Anchovies,760,,890,,0.17105263157894737,,,,,,,
14,ඉස්සා (M),Prawns (M),1993,1873,1890,0.009076348104644954,-0.051680883090817864,,,,,,,
15, කොප්පරා,Marlins,3080,3420,3080,-0.09941520467836257,0,,,,,,,
16,අලගොඩුවා,Frigate tuna,820,980,780,-0.20408163265306123,-0.04878048780487805,,,,,,,
17,ඇටවල්ලා,Kawakawa,1053.33,1120,920,-0.17857142857142858,-0.12657951449213442,,,,,,,
18,ඇටිස්සා,Red Bream(L),2010,1810,1760,-0.027624309392265192,-0.12437810945273632,,,, ,,,
19,බෝල්ලා,Big eye scade,1045,913,940,0.029572836801752465,-0.10047846889952153,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1413,1220,1140,-0.06557377049180328,-0.1932059447983015,,,,,,,
21,හබරලි,Needle fish,,1440,1210,-0.1597222222222222,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1840,1690,1635,-0.03254437869822485,-0.11141304347826086,,,,,,,
23,ජීලාවා,Barracuda,1993,1740,1960,0.12643678160919541,-0.01655795283492223,,,,,,,
24,ලින්නා,Indian Scade,1011.67,798,815,0.021303258145363407,-0.19440133640416338,,,,,,,
25,ලේන පරව්,Rainbow runner,1080,1147,1080,-0.05841325196163906,0,,,,,,,
26,සුද්දා,Threadfin bream,1307,1240,1290,0.04032258064516129,-0.013006885998469778,,,,,,,
27,සූඩයා,White Sardinella,460,407,440,0.08108108108108109,-0.043478260869565216,,,,,,,
28,දැල්ලා,Cuttle fish,,1887,1893,0.003179650238473768,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2733,2687,2167,-0.1935243766282099,-0.2070984266373948,,,,,,,
30,තිලාපියා,Thilapia (M),1050,,990,,-0.05714285714285714,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
