Table 2.1:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82
Item,2014,2015,2016,2017,2018(4),2019(4),2020,   2020   JAN,   2020   FEB,   2020   MAR,   2020    APR,   2020    MAY,   2020    JUN,   2020    JUL,   2020    AUG,   2020   SEP,    2020    OCT,    2020    NOV,    2020    DEC,2020,2020  (JAN-DEC),   2021  JAN,   2021   FEB,   2021    MAR,   2021   APR,   2021   MAY,  2021   JUN,   2021   JUL,   2021   AUG,   2021   SEP,   2021   OCT,   2021    NOV,   2021   DEC,2021, 2021   Jan-Dec,     2022    JAN,    2022    FEB,    2022    MAR,    2022    APR,    2022    MAY,    2022   JUN,   2022   JUL,   2022   AUG,   2022   SEP,   2022   OCT,   2022   NOV,   2022   DEC,2022, 2022  Jan-Dec,    2023   JAN,   2023   FEB, 2023 MAR, 2023 APR,2023 MAY, 2023 JUN, 2023 JUL, 2023 AUG, 2023 SEP, 2023 OCT, 2023 NOV, 2023 DEC,2023, 2023  Jan-Jan, 2024   JAN, 2024     FEB,2024   MAR,2024   APR, 2024    MAY,2024    JUN,2024    JUL,2024    AUG,2024   SEP,2024   OCT,2024   NOV,2024   DEC,2024, 2024  Jan-Jan, 2025   JAN, 2025  Jan-Jan,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,942.156,684.3439000000001,773.642,897.03036,864.0965,1301.0744,1293.9957,1258.7397,1107.776,999.0325,1065.8327,455.588,11643.30776,11643.30776,372.266,195.57039,354.98170999999996,900.68188,718.8314,573.8765,1543.508,650.69795,617.4915,511.63814,430.9597,643.3671800000001,7513.87035,7513.87035,486.10970000000003,558.614,515.886,325.88338,370.16426,290.1935,542.349,701.784,808.8095,735.308,473.31741000000005,389.77,6198.188749999999,6198.188749999999,435.998,489.9794,291.293,363.177,715.77225,604.7204,848.535,798.584,515.722,686.2767,501.817,525.1804000000001,6777.05515,435.998,453.941,406.114,551.703,558.715,668.1925,933.215,711.532,770.813,622.03736,614.6469000000001,951.15155,586.5848000000001,7828.6461100000015,453.941,742.8595,742.8595,70.38140083211391,63.64670739148922,11.769010757151769
Dried Sprats,24873.618,24607.422700000003,24456.9713,22797.82765,23197.825800000002,24805.64512,31102.3052,1749.103,2286.182,2771.343,3034.451,3261.3612000000003,4902.131,2839.089,1013.023,1899.578,1639.422,1407.514,4299.108,31102.305200000003,31102.305200000003,2675.079,1317.964,1901.6815,1248.588,1786.987,2133.294,2770.324,2404.457,1993.579,3566.35,2101.253,1171.794,25071.350500000004,25071.350500000004,996.671,1805.447,1775.954,2078.8,2253.459,2331.9995,1808.349,1251.508,1546.395,1930.406,3687.6385,2257.242,23723.869,23723.869,1513.099,1618.241,1964.623,1243.28,3010.642,3578.932,2167.102,1441.294,767.003,1765.591,1768.159,1921.049,22759.015,1513.099,2935.195,2331.479,2492.777,1035.194,2249.28,4495.041,1295.832,959.751,525.442,2701.426,3883.36,2458.039,27362.816,2935.195,3948.739,3948.739,160.9703000266341,34.53072112755711,62.559275028702885
Maldive fish,1255.6349999999998,2216.39342,2731.68475,2674.2638899999997,2317.74345,2520.9943,2545.2419,191.107,207.351,211.0915,107.068,205.2515,101.576,271.4415,367.523,315.43440000000004,227.364,217.456,122.578,2545.2419000000004,2545.2419000000004,204.469,118.8395,400.26051,353.9545,121.5769,52.318,142.3615,185.4919,48.272,213.03920000000002,140.818,206.195,2187.5960099999998,2187.5960099999998,153.79739999999998,101.2046,169.021,87.873,53.612739999999995,51.672,98.038,165.865,193.00575,144.4,163.79205,155.393,1537.6745400000002,1537.6745400000002,192.981,224.001,176.842,129.035,142.21,64.69,108.725,129.935,132.047,207.8773,129.225,77.076,1714.6443,192.981,99.262,127.69,144.297,111.703,137.44,61.888,70.771,197.041,319.6085,274.078,192.813,206.612,1943.2035,99.262,221.275,221.275,14.661546991672761,122.92015071225646,3.505626373881949
Canned Fish,19591.357,49016.10115,37088.75633999999,40613.82522,28068.096079999996,36805.67494,26043.65227,2717.1573399999993,1007.9441999999999,3395.6587000000004,2776.63913,3980.7593599999996,4079.50861,2710.8916,1246.72026,979.6321599999999,1367.27183,772.58928,1008.8798,26043.65227,26043.65227,804.5165,343.46025999999995,194.46508,241.3646,1104.4600500000001,841.14311,1031.0279,1436.41677,880.6111800000001,517.77296,459.97758,902.8648999999999,8758.08089,8758.08089,654.8920700000001,303.21072,50.029,478.6608,382.65845,360.23174,107.92376,266.6006,228.68763,266.77326,103.83357000000001,227.462,3430.9636000000005,3430.9636000000005,384.82556,184.52846,133.152,302.07309999999995,288.358225,203.27179999999998,651.86675,1083.1388,800.79872,1492.76455,1417.96635,961.68335,7904.427664999999,384.82556,514.9009699999999,874.7551500000001,163.06895,1171.822,282.989,189.736,242.7805,717.8689,115.11729000000001,0.2845,200.372,2.3521,4476.0473600000005,514.9009699999999,32.08159,32.08159,-91.66334221666564,-93.76936695225103,0.5082637804544905
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.903229999996,18536.1379309999,12801.184029999999,1987.7191500000001,992.9763999999999,1058.46148,1097.2337899999998,435.64436,761.0133999999999,1818.1726,917.28775,1532.9449200000001,741.45232,951.59531,506.68255,12801.18403,12801.18403,650.377,707.33881,667.2782900000001,729.62914,704.2520499999999,1049.8833399999999,714.6469299999999,2173.0141700000004,594.20593,653.85047,734.69688,786.85005,10166.02306,10166.02306,712.1884099999999,965.48,219.97985,339.8829,249.08713,131.41772,213.98651999999998,72.07011,162.27304,372.49735999999996,319.25346,63.85869,3821.975189999999,3821.975189999999,85.25873,172.60924,100.47928,140.34356,229.48353,639.68722,922.815,1565.2209,383.803,640.44628,985.1642099999999,117.81907000000001,5983.1300200000005,85.25873,397.97517999999997,559.60779,624.6613000000001,1003.3138200000001,765.4730500000001,998.98309,2070.4873700000003,1437.48324,838.19538,696.9154100000001,904.30028,1399.1191099999999,11696.515019999999,397.97517999999997,930.5575099999999,930.5575099999999,991.451291850113,133.82300122334263,14.742681954445441
Live fish (2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56475999999999,18.858990000000002,16.90873,10.29108,0,0,4.666,5.57,7.217,8.798,7.936,8.16296,10.156,98.56476,98.56476,10.808399999999999,9.654,9.88,7.944,11.96686,9.789,11.217,13.027,14.446,13.8771,15.312,14.71865,142.64001,142.64001,11.669,12.298,13.175,16.902,6.608,14.0154,6.851,9.829,8.97625,10.03541,9.831,11.394200000000001,131.58426,131.58426,12.529,11.9949,14.0908,6.638,11.92078,9.138,14.017,11.607,7.39905,12.19217,11.697,12.641,135.8647,12.529,14.508,6.2237,12.354,11.148,28.954099999999997,24.58315,13.6158,24.801,14.459,32.468,14.925,18.583,216.62275000000002,14.508,14.417,14.417,15.069039827599967,-0.6272401433691709,0.22840635151849986
Other,1399.007,1787.1263999999996,1692.15534,1756.9549199999997,2496.6432999999997,2529.1466,1574.854269,253.32094,155.01807,160.864019,98.46236999999998,33.606759999999994,62.0523,73.08705,153.10436,202.66541,139.84839000000002,155.88609999999997,86.9385,1574.854269,1574.854269,239.68275999999997,191.27406,170.93649,262.59087,310.13608,221.42803000000004,78.26655000000001,131.5748,106.90142,78.85095,341.04748,204.00339000000002,2336.69288,2336.69288,325.37501000000003,299.19206999999994,301.43879,419.6207,186.7262,191.72191999999998,151.91496,309.06187,279.74092,121.34705,114.01803,192.28598999999997,2892.44351,2892.44351,183.50036999999998,220.48915000000002,261.05473,266.59943999999996,309.93755,253.58363999999997,161.05014999999997,291.73233999999997,425.07034,378.90321000000006,435.63781,346.47858999999994,3534.0373200000004,183.50036999999998,350.44322999999997,579.4012499999999,667.5095,456.29411,510.60684000000003,541.31314,262.60232,148.07148,116.53676000000002,307.30332,399.388667,488.00162,4827.472236999999,350.44322999999997,422.0665,422.0665,130.00852804819962,20.437909443991842,6.686735753844969
Total,78711.79400000001,120045.58436999998,115692.89916000002,106020.06460999999,84463.0947,95636.9350709999,85809.11018900001,7859.422419999999,5350.724299999999,8381.351779000002,8010.884650000001,8780.71968,11212.021709999999,9012.247449999999,4963.61507,6046.82889,5122.32704,4579.036349999999,6489.93085,85809.11018900001,85809.11018900001,4957.19866,2884.10102,3699.48358,3744.7529899999995,4758.2103400000005,4881.73198,6291.35188,6994.679590000001,4255.50703,5555.37882,4224.06464,3929.7931699999995,56176.253699999994,56176.253699999994,3340.70259,4045.4463899999996,3045.483640000001,3747.6227800000006,3502.31578,3371.25178,2929.4122399999997,2776.71858,3227.88809,3580.76708,4871.684020000001,3297.40588,41736.69885,41736.69885,2808.19166,2921.8431499999992,2941.53481,2451.1461,4708.324335,5354.0230599999995,4874.110900000001,5321.51204,3031.8431099999993,5184.05121,5249.66637,3961.92741,48808.17415499999,2808.19166,4766.225379999999,4885.27089,4656.37075,4348.1899300000005,4642.93549,7244.7593799999995,4667.62099,4255.82962,2551.39629,4627.12213,6546.310497,5159.29163,58351.322976999996,4766.225379999999,6311.996099999999,6311.996099999999,124.77084416666915,32.431758818757345,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
