--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 3rd  week of Feb. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,3rd week of Feb.,2nd week of Feb.,3rd week of Feb.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1300,2250,1842.86,-0.18095111111111115,0.41758461538461533,,,,,,
2,පරව් (ලොකු),Trevally (L),983.33,1200,1010.71,-0.15774166666666664,0.027844162183600616,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),925,1183.33,971.43,-0.17907092696035762,0.05019459459459454, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),600,960,800,-0.16666666666666666,0.3333333333333333,, ,,, , 
5,තලපත්,Sail fish,1116.67,1557.14,1435.71,-0.07798271189488425,0.28570660983101537,,,,,,
6,බලයා,Skipjack tuna,575,721.43,582.14,-0.1930748651982867,0.012417391304347802,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,987.5,1178.57,1028.57,-0.1272728815428867,0.041589873417721454, ,,,,,
8,සාලයා (මට්ට),Sardinella,271.67,416.43,347.86,-0.16466152774776072,0.2804505466190599,,,,,,
9,මෝරා,Sharks,,957.14,900,-0.059698685667718396,,,,,,,
10,හුරුල්ලා,Herrings,575,729.17,561.43,-0.23004237694913396,-0.023600000000000086,,,,,,
11,කුම්බලා,Indian Mackerel,620,807.14,664.29,-0.17698292737319427,0.07143548387096768,,,,,,
12,කාරල්ලා,Pony fish,195,371.43,417.86,0.12500336537167167,1.142871794871795,,,,,,
13,කටුවල්ලා,Katuwalla,391.67,530,400,-0.24528301886792453,0.021267904102943762,,, ,,,
14,හාල්මැස්සා,Anchovy,275,485.71,390,-0.19705173869181195,0.41818181818181815,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1032.5,1557.14,1521.43,-0.022933069601962595,0.4735399515738499,,,,,,
16, කොප්පරා,Marlins,1300,1871.43,1600,-0.14503882058105302,0.23076923076923078,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),516.67,755,575,-0.23841059602649006,0.11289604583196246,,,,,,
18,ඇටවල්ලා,Kawakawa,660,835.71,639.29,-0.23503368393342194,-0.031378787878787937,,, ,,,
19,ඇටිස්සා,Red Bream(L),900,1233.33,1016.67,-0.1756707450560677,0.1296333333333333,,,,,,
20,බෝල්ලා,Big eye scade,586,850,680,-0.2,0.16040955631399317,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,700,1116.67,1000,-0.10448028513347728,0.42857142857142855,, ,,, ,
22,හබරලි,Needle fish,675,971.43,850,-0.12500128676281355,0.25925925925925924,,,,,,
23,හැඩැල්ලා,Indian Anchovies,975,1185.71,1114.29,-0.060233952652840976,0.14286153846153843,, , ,,,
24,ජීලාවා,Barracuda(L),862.5,1216.67,1085.71,-0.1076380612655856,0.25879420289855076,,, ,,,
25,ලින්නා,Indian Scad(L),543,700,628.57,-0.10204285714285707,0.15758747697974226,,,,,,
26,ලින්නා,Indian Scad(S),390,592.86,485.71,-0.18073406875147596,0.24541025641025635,,,,,,
27,ලේන පරව්,Rainbow Runner,500,721.43,657.14,-0.08911467502044546,0.31427999999999995,,,,,,
28,සුද්දා,Threadfin  Bream,747.5,1000,917.86,-0.08213999999999999,0.22790635451505017,,,,,,
29,සූඩයා,White Sardinella,186.67,329,248.57,-0.244468085106383,0.3316012214067606,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1212.5,1600,1400,-0.125,0.15463917525773196,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1150,2214.29,2100,-0.051614738810182935,0.8260869565217391,,,, ,,
32,තිලාපියා,Tilapia (M),350,400,500,0.25,0.42857142857142855,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2022,2023,2023,"% Change 3rd week of Feb. 2023, compared to:",,,,
Sinhala Name,,Common Name,Average of 3rd week of Feb.,Average of 2nd week of Feb.,Average of 3rd week of Feb.,Last week ,Last Year,,,
1,තෝරා,Seer,2300,3625,3193,-0.11917241379310345,0.3882608695652174,,,
2,පරව් (ලොකු),Trevally (L),1573.33,2395,2240,-0.06471816283924843,0.4237318299403177,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1280,2390,2117,-0.11422594142259414,0.65390625,,,
4,තලපත්,Sail fish,1755,2646.67,2510,-0.051638474006959714,0.4301994301994302,,,
5,බලයා,Skipjack tuna,950,1405,1390,-0.010676156583629894,0.4631578947368421,,,
6,කෙළවල්ලා,Yellowfin tuna,1525,2297,2120,-0.07705703090988246,0.3901639344262295,,,
7,සාලයා (මට්ට),Sardinella,366.66,713,613,-0.1402524544179523,0.6718485790650738,,,
8,මෝරා,Shark,,1773,1807,0.019176536943034405,,,,
9,හුරුල්ලා,Herrings,730,1080,970,-0.10185185185185185,0.3287671232876712,,,
10,කුම්බලා,Indian mackerel,795,1065,1003,-0.05821596244131456,0.26163522012578616,,,
11,කාරල්ලා,Pony fish,250,410,,,,,,
12,කටුවල්ලා,Katuwalla,,1020,,,,,,
13,හාල්මැස්සා,Anchovies,600,760,700,-0.07894736842105263,,,,
14,ඉස්සා (M),Prawns (M),1297.5,1993,1984,-0.004515805318615153,0.5290944123314065,,,
15, කොප්පරා,Marlins,1890,3080,3073,-0.0022727272727272726,0.6259259259259259,,,
16,අලගොඩුවා,Frigate tuna,630,820,790,-0.036585365853658534,0.25396825396825395,,,
17,ඇටවල්ලා,Kawakawa,706.66,1053.33,978,-0.07151604910142115,0.38397532052189176,,,
18,ඇටිස්සා,Red Bream(L),1160,2010,1827,-0.09104477611940298,,,,
19,බෝල්ලා,Big eye scade,706.66,1045,1010,-0.03349282296650718,0.42925876659213774,,,
20,ගින්නටි පරව්,Ginnati paraw,1060,1413,1300,-0.0799716914366596,,,,
21,හබරලි,Needle fish,790,,1190,,0.5063291139240507,,, 
22,හැඩැල්ලා,Indian Anchovy,1460,1840,1623,-0.11793478260869565,0.11164383561643836,,,
23,ජීලාවා,Barracuda,1580,1993,1693,-0.15052684395383845,0.07151898734177216,,,
24,ලින්නා,Indian Scade,665,1011.67,918,-0.09258948075953617,0.3804511278195489,,,
25,ලේන පරව්,Rainbow runner,740,1080,1007,-0.06759259259259259,0.3608108108108108,,,
26,සුද්දා,Threadfin bream,850,1307,1290,-0.013006885998469778,0.5176470588235295,,,
27,සූඩයා,White Sardinella,220,460,400,-0.13043478260869565,0.8181818181818182,,,
28,දැල්ලා,Cuttle fish,1313.33,,1980,,0.5076180396396947,,,
29,කකුළුවා,Sea Crabs(L),,2733,2475,-0.09440175631174534,,,,
30,තිලාපියා,Thilapia (M),620,1050,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,
**Retail Price collection done by over the phone,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
