 Coastal Fishing Seasons of Sri Lanka,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
F District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Puttalam,,,,,,,,,,,,
Chilaw,,,,,,,,,,,,
Negombo,,,,,,,,,,,,
Colombo,,,,,,,,,,,,
Kalutara,,,,,,,,,,,,
Galle,,,,,,,,,,,,
Matara,,,,,,,,,,,,
Tangalle,,,,,,,,,,,,
Kalmunai,,,,,,,,,,,,
Batticaloa,,,,,,,,,,,,
Trinco,,,,,,,,,,,,
Killinochchi,,,,,,,,,,,,
Mullaithivue,,,,,,,,,,,,
Jaffna,,,,,,,,,,,,
Mannar,,,,,,,,,,,,
,N-E Monsoon,,,Inter monsoon 1,,South-West monsoon,,,,Inter monsoon 2,,N-E Monsoon
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,OFF SEASON FOR COASTAL FISHERIES ,,,,,,,,,
,,,,,,,,,,,,
,,,Fishing Season,,,,,,,,,
,,,,,,,,,,,,
,,,Mid Season,,,,,,,,,
