Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change2nd  week of Dec. 2022, compared to:",, ,,,
Sinhala Name,,Common Name,2nd week of  Dec.,1st week of  Dec.,2nd week of  Dec.,Last week ,Last Year,,,,
1,තෝරා,Seer (L),1150,1375,1700,0.23636363636363636,0.4782608695652174,,,,
2,පරව් (ලොකු),Trevally (L),743.75,970,1166.67,0.2027525773195877,0.5686319327731093,  ,, , 
3,ගල්මාළු (ලොකු),Rock fish (L),750,860,1075,0.25,0.43333333333333335, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),550,612.5,795,0.2979591836734694,0.44545454545454544,,,,
5,තලපත්,Sail fish,1450,1550,1420,-0.08387096774193549,-0.020689655172413793,,,,
6,බලයා,Skipjack tuna,392.14,520.83,671.43,0.28915385058464355,0.7122201254653949,,,,
7,කෙළවල්ලා,Yellowfin tuna,783.33,1008.33,1058.33,0.049586940783275205,0.35106532368222826, ,,,
8,සාලයා (මට්ට),Sardinella,255.83,337.5,414.29,0.227525925925926,0.6193956924520189,,,,
9,මෝරා,Sharks,600,716.67,895,0.24883140078418248,0.49166666666666664,,,,
10,හුරුල්ලා,Herrings,430.71,518.33,653.57,0.26091486118881796,0.5174247173272041,,,,
11,කුම්බලා,Indian Mackerel,390.71,555,653.57,0.1776036036036037,0.6727752041155847,,,,
12,කාරල්ලා,Pony fish,166,341.67,416.67,0.21951005356045306,1.5100602409638555,,,,
13,කටුවල්ලා,Katuwalla,283.33,,433.33,,0.5294179931528606,,, ,
14,හාල්මැස්සා,Anchovy,260,325,400,0.23076923076923078,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",864.29,1358.5,1442.86,0.06209790209790202,0.6694165152900068,,,,
16, කොප්පරා,Marlins,1710,1716.67,1778.57,0.03605818241129621,0.04009941520467832,, ,,
17,අලගොඩුවා,Frigate tuna(L),397.5,481.25,758.33,0.5757506493506495,0.907748427672956,,,,
18,ඇටවල්ලා,Kawakawa,433.33,593.75,870.83,0.46666105263157903,1.0096231509473153,,,,
19,ඇටිස්සා,Red Bream(L),748.57,987.5,1130,0.14430379746835442,0.5095448655436364,,,,
20,බෝල්ලා,Big eye scade,335.71,529.17,670,0.26613375663775357,0.9957701587679844,,,,
21,ගින්නටි පරව්,Ginnati Paraw,470,693.75,900,0.2972972972972973,0.9148936170212766,, ,,
22,හබරලි,Needle fish,508.33,690,821.43,0.19047826086956515,0.6159384651702634,,,,
23,හැඩැල්ලා,Indian Anchovies,1050,1080,1233.33,0.14197222222222217,0.17459999999999992,, ,,
24,ජීලාවා,Barracuda(L),633.33,875,992.86,0.13469714285714288,0.5676819351680797,,, ,
25,ලින්නා,Indian Scad(L),380.83,555.83,775,0.3943112102621304,1.0350287529868971,,,,
26,ලින්නා,Indian Scad(S),322.14,491,583.33,0.1880448065173117,0.8107965480846839,,,,
27,ලේන පරව්,Rainbow Runner,379.29,495,664.27,0.3419595959595959,0.7513512088375648,,,,
28,සුද්දා,Threadfin  Bream,510,660,795.83,0.20580303030303038,0.5604509803921569,,,,
29,සූඩයා,White Sardinella,140,206.67,254.09,0.2294479121304496,0.8149285714285714,,,,
30,දැල්ලා,Squids /Cuttle fish,1035,1687.5,1552.14,-0.08021333333333328,0.49965217391304356,,,,
31,කකුළුවා(L),Sea Crabs(L),1414.29,1750,1854.14,0.05950857142857149,0.3110041080683595,,,, 
32,තිලාපියා,Tilapia (M),,,600,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
