Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,2023,Compared to Average of 2nd week of  December,,,,,,,
Sinhala Name,,Common Name,Average of 2nd  week of  December,Average of 1st week of  November,Average of 2nd  week of  December,Last week ,Last Year,,,,,,
1,තෝරා,Seer,3166.67,3608,3574,-0.009423503325942351,0.12863039091537795,,,,,,
2,පරව් (ලොකු),Trevally (L),2350,2496,2458,-0.015224358974358974,0.04595744680851064,, ,,,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),2193.33,2180,2040,-0.06422018348623854,-0.06990740107507759,,,,,,
4,තලපත්,Sail fish,2695,2728.33,2597,-0.04813567273753539,-0.03636363636363636,,,,,,
5,බලයා,Skipjack tuna,1293.33,1255,1150,-0.08366533864541832,-0.11082245057332617,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2090,2146.67,1874,-0.12701998909939582,-0.10334928229665072,,,,,,
7,සාලයා (මට්ට),Sardinella,590,633.33,533.33,-0.15789556787140985,-0.09605084745762706,,,,,,
8,මෝරා,Shark,1740,1780,1733.33,-0.026219101123595545,-0.003833333333333375,,,,,,
9,හුරුල්ලා,Herrings,868,773.8,807.5,0.04355130524683387,-0.06970046082949309,,,,,,
10,කුම්බලා,Indian mackerel,970,1015,947.5,-0.0665024630541872, ,,,,,,
11,කාරල්ලා,Pony fish,620,,630,,0.016129032258064516,,,,,,
12,කටුවල්ලා,Katuwalla,,620,,,,,,,,,
13,හාල්මැස්සා,Anchovies,653.33,,690,,0.05612783738692538,,,,,,
14,ඉස්සා (M),Prawns (M),1755,1790,1784,-0.0033519553072625698,0.016524216524216526,,,,,,
15, කොප්පරා,Marlins,3140,3065,2960,-0.03425774877650897,-0.05732484076433121,,,,,,
16,අලගොඩුවා,Frigate tuna,1040,1120,1070,-0.044642857142857144,0.028846153846153848,,,,,,
