Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2021,2022,,"% Change 4th week of July 2022, compared to:",
Sinhala Name,,Common Name,July 4th week average,July 3rd week average,July 4th week average,Last week ,Last Year
1,තෝරා,Seer,2660,3800,3656.66,-0.03772105263157899,0.37468421052631573
2,පරව් (ලොකු),Trevally (L),1420,2770,2688,-0.0296028880866426,0.8929577464788733
3,ගල්මාළු (ලොකු),Rock Fish (L),1380,2390,2480,0.03765690376569038,0.7971014492753623
4,තලපත්,Sail fish,1520,2780,2795,0.00539568345323741,0.8388157894736842
5,බලයා,Skipjack tuna,,1793.33,1796.66,0.001856880774871415,
6,කෙළවල්ලා,Yellowfin tuna,1370,2695,2630,-0.02411873840445269,0.9197080291970803
7,සාලයා (මට්ට),Sardinella,396,1030,910,-0.11650485436893204,1.297979797979798
8,මෝරා,Shark,,1820,1960,0.07692307692307693,
9,හුරුල්ලා,Herrings,710,1180,1167.5,-0.01059322033898305,0.6443661971830986
10,කුම්බලා,Indian mackerel,680,1366.66,1390,0.01707813208844915,1.0441176470588236
11,කාරල්ලා,Pony fish,,700,700,0,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,,,905,,
14,ඉස්සා (M),Prawns (M),1190,1650,1658.75,0.005303030303030303,0.3939075630252101
15, කොප්පරා,Marlins,1680,3160,3085,-0.023734177215189875,0.8363095238095238
16,අලගොඩුවා,Frigate tuna,,1080,1040,-0.037037037037037035,
17,ඇටවල්ලා,Kawakawa,620,1170,1120,-0.042735042735042736,0.8064516129032258
18,ඇටිස්සා,Red Bream,,,,,
19,බෝල්ලා,Big eye scade,580,,1276.67,,1.2011551724137932
20,ගින්නටි පරව්,Ginnati paraw,880,1530,1570,0.026143790849673203,
21,හබරලි,Needle fish,,1450,,,
22,හැඩැල්ලා,Indian Anchovy,1020,1653.33,1752.5,0.05998197577011249,0.7181372549019608
23,ජීලාවා,Barracuda,1280,,2613.33,,1.0416640625
24,ලින්නා,Indian Scade,600,940,998,0.06170212765957447,0.6633333333333333
25,ලේන පරව්,Rainbow runner,640,1126.66,1180,0.04734347540517984,0.84375
26,සුද්දා,Threadfin bream,780,1470,1596.66,0.0861632653061225,1.0470000000000002
27,සූඩයා,White Sardinella,,720,700,-0.027777777777777776,
28,දැල්ලා,Cuttle fish,1240,1660,1716.67,0.03413855421686751,0.3844112903225807
29,කකුළුවා,Sea Crabs(L),1430,3420,3340,-0.023391812865497075,
30,තිලාපියා,Thilapia (M),,820,920,0.12195121951219512,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
**Retail Price collection done by Telephone,,,,,,,
