Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 4th week of May 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,4th week of May,3rd week of May,4th week of May,Last week ,Last Year,,,, ,,
1,තෝරා,Seer (L),1891.67,1833.33,1800,-0.018180033054605516,-0.0484598265025084,, ,,,,
2,පරව් (ලොකු),Trevally (L),1228.57,1414.29,1478.57,0.045450367322119205,0.20348860870768457,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1320,1391.67,1416.67,0.017964028828673463,0.07323484848484854, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1133.33,1007.14,1120,0.112059892368489,-0.011761799299409641,, ,,, , 
5,තලපත්,Sail fish,1716.67,1857.14,2378.57,0.28077043195451074,0.38557206685035567,,,,,,
6,බලයා,Skipjack tuna,1150,1128.57,1264.293,0.12026103830511174,0.09938521739130425,,,,,, 
7,කෙළවල්ලා,Yellowfin tuna,1521.43,1464.23,1742.86,0.1902911427849449,0.14554070841248026, ,,,,, 
8,සාලයා (මට්ට),Sardinella,457.14,425.71,446,0.04766155363980179,-0.02436890230563938,,,,,,
9,මෝරා,Sharks,1380,1216.67,1237.33,0.016980775395135782,-0.10338405797101455,,,,,,
10,හුරුල්ලා,Herrings,928.57,789.29,921.43,0.16741628552243154,-0.007689242598834875,,,,,,
11,කුම්බලා,Indian Mackerel,1142.86,1121.43,1278.57,0.1401246622615766,0.11874595313511721,,,,,,
12,කාරල්ලා,Pony fish,390,366.67,416.67,0.1363623967054845,0.06838461538461542,,,,,,
13,කටුවල්ලා,Katuwalla,490,566.67,600,0.05881730107469964,0.22448979591836735,,, ,,,
14,හාල්මැස්සා,Anchovy,607.14,587.5,516.67,-0.12056170212765964,-0.14901011298876704,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1214.29,1271.43,1217.86,-0.042133660523977066,0.0029399896235659823,,,,,,
16, කොප්පරා,Marlins,1950,2333.33,2700,0.15714451020644318,0.38461538461538464,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),983.33,990,1091.67,0.10269696969696977,0.11017664466659212,,,,,,
18,ඇටවල්ලා,Kawakawa,918.75,1178.57,1357.14,0.151514123047422,0.4771591836734695,,, ,,,
19,ඇටිස්සා,Red Bream(L),1366.27,1556,1500,-0.03598971722365039,0.09787962847753373,,,,,,
20,බෝල්ලා,Big eye scade,975,1166.67,1250,0.07142551021282789,0.28205128205128205,,,, ,,
21,ගින්නටි පරව්,Ginnati Paraw,1362.5,1350,1280,-0.05185185185185185,-0.060550458715596334,, ,,, ,
22,හබරලි,Needle fish,1016.67,1171.43,1250,0.06707186942454943,0.22950416556011297,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1225,1316.67,1460,0.10885795225834866,0.19183673469387755,, , ,,,
24,ජීලාවා,Barracuda(L),1300,1514.29,1550,0.023582008730163997,0.19230769230769232,,, ,,,
25,ලින්නා,Indian Scad(L),818.86,1000,1246.43,0.24643000000000007,0.5221527489436534,,,,,,
26,ලින්නා,Indian Scad(S),718.33,790,1050,0.3291139240506329,0.46172372029568576,,,,,,
27,ලේන පරව්,Rainbow Runner,825,1078.57,1280,0.18675653875038253,0.5515151515151515,,,,,,
28,සුද්දා,Threadfin  Bream,1087.5,1360,1446.67,0.06372794117647064,0.3302712643678162,,, ,,,
29,සූඩයා,White Sardinella,270,341.67,395,0.15608628208505276,0.46296296296296297,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1528.57,1664.29,1571,-0.056053932908327254,0.0277579698672616,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2020,2100,2100,0,0.039603960396039604,,,, ,,
32,තිලාපියා,Tilapia (M),800,520,700,0.34615384615384615,-0.125,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
