Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2025,2026,,% Change   compared to:3rd week of Feb. 2026,, ,, ,, ,,
Sinhala Name,,Common Name,3rd  week of Feb.,2nd  week of Feb.,3rd  week of Feb.,Last week ,Last Year,,, ,, ,,
1,තෝරා,Seer,3020,4220,4216,-0.0009478672985781991,0.39602649006622515,,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2048,2596,2616,0.007704160246533128,0.27734375, , , ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2126.67,2530,2433.3333333333335,-0.03820816864295119,0.1441988335441481,,,,, ,,
4,තලපත්,Sail fish,2460,3196.6666666666665,3155,-0.013034410844629776,0.28252032520325204,,, ,, , ,
5,බලයා,Skipjack tuna,1180,1800,1626.6666666666667,-0.09629629629629625,0.37853107344632775,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,1976,2596.6666666666665,2530,-0.025673940949935758,0.28036437246963564,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,465,855,870,0.017543859649122806,0.8709677419354839,,, ,,, ,
8,මෝරා,Shark,1995,2190,2293.3333333333335,0.04718417047184177,0.14954051796157067,,,,,,,
9,හුරුල්ලා,Herrings,1133.33,1313.3333333333333,1316,0.002030456852791936,0.16117988582319367,,,  ,,,,
10,කුම්බලා,Indian mackerel,933.33,1393.3333333333333,1400,0.0047846889952153655,0.5000053571619898,,, ,,,, 
11,කාරල්ලා,Pony fish,520,390,410,0.05128205128205128,-0.21153846153846154,,, ,, ,,
12,කටුවල්ලා,Katuwalla,590,700,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,,760,700,-0.07894736842105263,,,,,, ,,
14,ඉස්සා (M),Prawns (M),2496,2996,2896,-0.03337783711615487,0.16025641025641027,,, ,,,,
15, කොප්පරා,Marlins,2860,3840,3540,-0.078125,0.23776223776223776,,,,, , ,
16,අලගොඩුවා,Frigate tuna,840,1333.3333333333333,1310,-0.017499999999999943,0.5595238095238095,,, ,,,,
17,ඇටවල්ලා,Kawakawa,870,1365,1280,-0.06227106227106227,0.47126436781609193,,, ,,,,
18,ඇටිස්සා,Red Bream(L),1780,2050,1900,-0.07317073170731707,0.06741573033707865,,,,, ,,
19,බෝල්ලා,Big eye scade,1066.67,1440,1406.6666666666667,-0.023148148148148095,0.31874587891912837,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1066.67,1733.3333333333333,1793.3333333333333,0.03461538461538462,0.6812447461101683,,, ,,, ,
21,හබරලි,Needle fish,1120,1460,1446.6666666666667,-0.009132420091324148,0.29166666666666674,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,2150,2200,2193.3333333333335,-0.0030303030303029613,0.02015503875968999,,,,,,,
23,ජීලාවා,Barracuda(L),2060,2690,2690,0,0.3058252427184466,,,,,,,
24,ලින්නා,Indian Scade,856,1210,1191.6666666666667,-0.01515151515151509,0.39213395638629295,,, ,,, ,
25,ලේන පරව්,Rainbow runner,865,1340,1300,-0.029850746268656716,0.5028901734104047,,,,,,,
26,සුද්දා,Threadfin bream,970,1580,1626.6666666666667,0.029535864978903002,0.6769759450171822,,,,,,,
27,සූඩයා,White Sardinella,330,490,490,0,0.48484848484848486,,,,, ,,
28,දැල්ලා,Cuttle fish,2150,2326.6666666666665,2333.3333333333335,0.0028653295128941133,0.08527131782945743,, , ,,,,
29,කකුළුවා,Sea Crabs(L),2550,3280,3290,0.003048780487804878,0.2901960784313726,,,,,, ,
30,තිලාපියා,Thilapia (M),1100,1010,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,, , ,,,, ,,
