Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,Compared to Average of 1st week of  Nov. 2024,, ,,,,,,,,
Sinhala Name,,Common Name,Average of 1st week of  Nov.,Average of 4th week of  Oct.,Average of 1st week of  Nov.,Last week ,Last Year,, ,, ,,,,, 
1,තෝරා,Seer,2796,3913.33,3595,-0.08134504373513093,0.2857653791130186,, ,, ,, ,,,
2,පරව් (ලොකු),Trevally (L),1940,2340,2296,-0.018803418803418803,0.18350515463917524, , , ,, ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2060,2190,2120,-0.0319634703196347,0.02912621359223301,, ,,,,,,,
4,තලපත්,Sail fish,2570,2963.33,2880,-0.0281203915864922,0.12062256809338522,,, , ,,,,,
5,බලයා,Skipjack tuna,1180,1120,1104,-0.014285714285714285,-0.06440677966101695,,, ,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,1996.67,2283.33,2196.67,-0.037953340077868665,0.10016677768484526,,, , ,,,, ,
7,සාලයා (මට්ට),Sardinella,450,590,640,0.0847457627118644,0.4222222222222222,,,, ,,, ,,
8,මෝරා,Shark,1645,1645,1653.33,0.005063829787233998,0.005063829787233998,,,,,,,,,
9,හුරුල්ලා,Herrings,620,975,976,0.0010256410256410256,0.5741935483870968,,,,,,,,,
10,කුම්බලා,Indian mackerel,760,972.5,906.67,-0.06769151670951161,0.1929868421052631,,,,,,,,,
11,කාරල්ලා,Pony fish,,520,513.33,-0.012826923076922998,,,,, ,,,,,
12,කටුවල්ලා,Katuwalla,730,,,, ,,,,,,,,,
13,හාල්මැස්සා,Anchovies,520,605,520,-0.14049586776859505,0,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1692,1940,1952.5,0.006443298969072165,0.15395981087470448,,,,,,,,,
15, කොප්පරා,Marlins,2940,3260,3266.67,0.002046012269938673,0.1111122448979592,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,760,960,946.67,-0.013885416666666709,0.2456184210526315,,,,,,,,,
17,ඇටවල්ලා,Kawakawa,775,1004,915,-0.08864541832669323,0.18064516129032257,,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1780,1810,1780,-0.016574585635359115,0,,, ,,,,,,
19,බෝල්ලා,Big eye scade,577.5,973.33,955,-0.018832256274850297,0.6536796536796536,,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,940,1053.33,952.5,-0.0957249864714761,0.013297872340425532,,,, ,,, ,,
21,හබරලි,Needle fish,986.67,1088,935,-0.140625,-0.05236806632410022,,, ,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1360,1766.67,1660,-0.06037913136012955,0.22058823529411764,,,,,,,,,
23,ජීලාවා,Barracuda,1746.67,2120,1992.5,-0.060141509433962265,0.14074209782042396,,,,,,,,,
24,ලින්නා,Indian Scade,663.33,755,706,-0.06490066225165562,0.06432695641686635,,,,,,,,,
25,ලේන පරව්,Rainbow runner,910,893.33,793.33,-0.11194071619670222,-0.12820879120879117,,,,,,,,,
26,සුද්දා,Threadfin bream,846.67,803.33,795,-0.010369337632106408,-0.06102731879008346,,,,,,,,,
27,සූඩයා,White Sardinella,212.5,335,416,0.2417910447761194,0.9576470588235294,,,,,,,,,
28,දැල්ලා,Cuttle fish,1910,2050,2110,0.02926829268292683,0.10471204188481675,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2566.67,2530,2530,0,-0.014286994432474791,,,,,,,,,
30,තිලාපියා,Thilapia (M),,920,940,0.021739130434782608,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
