Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2020,2021,2021,2022,"% Change 2nd week of Jan. 2022, compared to:",,, 
Sinhala Name,,Common Name,2nd  week of jan.,2nd  week of jan.,1st  week of jan.,2nd  week of jan.,Last week ,Last Year,2020.0,
1,තෝරා,Seer (Nl),1591.67,1100,1475,1121.67,-0.23954576271186437,0.019700000000000065,-0.29528733971237753,
2,පරව් (ලොකු),Trevally (L),640,586.6666666666666,1006,822.14,-0.1827634194831014,0.4013750000000001,0.28459375,
3,ගල්මාළු (ලොකු),Rock fish (L),­,0,775,819,0.0567741935483871,,, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,608.33,596.67,-0.019167228313579934,,,
5,තලපත්,Sail fish,651,772.5,1262.5,1266,0.002772277227722772,0.6388349514563106,0.9447004608294931,
6,බලයා,Skipjack tuna,340,,480,569.29,0.18602083333333325,,0.6743823529411763,
7,කෙළවල්ලා,Yellowfin tuna,450,,851.67,766,-0.10059060434205733,,0.7022222222222222,
8,සාලයා (මට්ට),Sardinella,245,180,240,227.5,-0.052083333333333336,0.2638888888888889,-0.07142857142857142,
9,මෝරා,Sharks,600,565,,600,,0.061946902654867256,0.0,
10,හුරුල්ලා,Herrings,460,420,444.29,465,0.04661369826014535,0.10714285714285714,0.010869565217391304,
11,කුම්බලා,Indian Mackerel,550,347.5,518.33,518.5,0.0003279763857001506,0.4920863309352518,-0.057272727272727274,
12,කාරල්ලා,Pony fish,144,,,238.75,,,0.6579861111111112,
13,කටුවල්ලා,Katuwalla,400,,,400,,,0.0,
14,හාල්මැස්සා,Anchovy,220,300,350,282.5,-0.19285714285714287,,0.2840909090909091,
15,ඉස්සා (M),"Prawns (M) 3""",1033.33,790,953.57,957.14,0.0037438258334468746,0.21156962025316453,-0.07373249591127708,
16, කොප්පරා,Marlins,814,895,1412.5,1480,0.047787610619469026,0.6536312849162011,0.8181818181818182,
17,අලගොඩුවා,Frigate tuna(L),450,305,433.33,495,0.14231647935753355,0.6229508196721312,0.1,
18,ඇටවල්ලා,Atawalla,440,365,550,563.33,0.024236363636363712,0.5433698630136987,0.2802954545454546,
19,ඇටිස්සා,Red Bream(L),725,625,741.67,859.17,0.1584262542640258,0.37467199999999995,0.1850620689655172,
20,බෝල්ලා,Big eye scade,450,367.5,446.67,472.5,0.05782792665726372,0.2857142857142857,0.05,
21,ගින්නටි පරව්,Ginnati Paraw,425,500,483.33,626,0.29518134607824886,0.252,0.47294117647058825,
22,හබරලි,Needle fish,497.5,450,550,585,0.06363636363636363,0.3,0.17587939698492464,
23,හැඩැල්ලා,Indian Anchovies,1010,900,1000,1068.57,0.06856999999999994,0.18729999999999994,0.057990099009900924,
24,ජීලාවා,Barracuda(L),630,615,650,666,0.024615384615384615,0.08292682926829269,,
25,ලින්නා,Indian Scad(L),315,322,497.86,455.71,-0.08466235487888168,0.4152484472049689,0.44669841269841265,
26,ලින්නා,Indian Scad(S),,,434,387.86,-0.10631336405529951,,,
27,ලේන පරව්,Rainbow Runner,388.33,345,471,488.75,0.03768577494692144,0.4166666666666667,0.2585944943733423,
28,සුද්දා,Threadfin  Bream,640,450,556.25,565,0.015730337078651686,0.25555555555555554,-0.1171875,
29,සූඩයා,White Sardinella,182.5,107,154.17,127.5,-0.17299085425179989,0.19158878504672897,-0.3013698630136986,
30,දැල්ලා,Squids /Cuttle fish,760,650,1150,1075,-0.06521739130434782,0.6538461538461539,0.4144736842105263,
31,කකුළුවා(L),Sea Crabs(L),,,1500,1400,-0.06666666666666667,,,
32,තිලාපියා,Tilapia (M),450,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
