Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,2021,,"% Change 4th week of Nov. 2021, compared to:",,, 
Sinhala Name,,Common Name,4th week of Nov.,4th week of Nov.,3rd week of Nov.,4th week of Nov.,Last week ,Last Year,2019.0,
1,තෝරා,Seer (Nl),1470,1468,1650,1360,-0.17575757575757575,-0.07356948228882834,-0.07482993197278912,
2,පරව් (ලොකු),Trevally (L),600,498,887.5,750,-0.15492957746478872,0.5060240963855421,0.25,
3,ගල්මාළු (ලොකු),Rock fish (L),462.5,663,850,900,0.058823529411764705,0.3574660633484163,, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,450,775,0.7222222222222222,,,
5,තලපත්,Sail fish,700,550,1362.5,1470,0.07889908256880734,1.6727272727272726,,
6,බලයා,Skipjack tuna,345.83,300,437,466.67,0.0678947368421053,0.5555666666666668,0.3494202353757628,
7,කෙළවල්ලා,Yellowfin tuna,557.5,392,875,931.25,0.06428571428571428,1.375637755102041,0.6704035874439462,
8,සාලයා (මට්ට),Sardinella,230,211,237,235.71,-0.0054430379746835105,0.11710900473933653,0.024826086956521772,
9,මෝරා,Sharks,600,626,,750,,0.19808306709265175,,
10,හුරුල්ලා,Herrings,397.5,360,475,468.33,-0.014042105263157929,0.3009166666666666,0.17818867924528298,
11,කුම්බලා,Indian Mackerel,432.86,288,430,441.67,0.027139534883720968,0.5335763888888889,0.02035300097029063,
12,කාරල්ලා,Pony fish,126.67,,206.67,170,-0.17743262205448293,,0.3420699455277493,
13,කටුවල්ලා,Katuwalla,­,300,250,312.5,0.25,0.041666666666666664,,
14,හාල්මැස්සා,Anchovy,302.5,155,340,276.67,-0.1862647058823529,0.784967741935484,-0.08538842975206606,
15,ඉස්සා (M),"Prawns (M) 3""",1083.33,889,925,964.29,0.04247567567567564,0.08469066366704157,-0.10988341502589236,
16, කොප්පරා,Marlins,976.67,600,1537.5,1630,0.06016260162601626,1.7166666666666666,0.6689362834939131,
17,අලගොඩුවා,Frigate tuna(L),390,340,,500,,0.47058823529411764,0.28205128205128205,
18,ඇටවල්ලා,Atawalla,465,347,593.3,560,-0.056126748693746766,0.6138328530259366,0.20430107526881722,
19,ඇටිස්සා,Red Bream(L),633.33,550,800,696,-0.13,0.26545454545454544,0.09895315238501248,
20,බෝල්ලා,Big eye scade,375,318,390,418.57,0.07325641025641023,0.3162578616352201,0.11618666666666665,
21,ගින්නටි පරව්,Ginnati Paraw,575,400,545,600,0.10091743119266056,0.5,0.043478260869565216,
22,හබරලි,Needle fish,452,316,603,600,-0.004975124378109453,0.8987341772151899,0.3274336283185841,
23,හැඩැල්ලා,Indian Anchovies,783.33,,1000,1050,0.05,,0.34043123587759944,
24,ජීලාවා,Barracuda(L),650,520,775,712.5,-0.08064516129032258,0.3701923076923077,0.09615384615384616,
25,ලින්නා,Indian Scad(L),282.86,232,527.5,504.17,-0.044227488151658736,1.173146551724138,0.7824011878667892,
26,ලින්නා,Indian Scad(S),,,462,395.1,-0.14480519480519474,,,
27,ලේන පරව්,Rainbow Runner,300,270,562.5,485.71,-0.13651555555555558,0.7989259259259258,0.6190333333333332,
28,සුද්දා,Threadfin  Bream,401.25,370,513.33,533.33,0.038961291956441275,0.4414324324324325,0.329171339563863,
29,සූඩයා,White Sardinella,131,106,153,166,0.08496732026143791,0.5660377358490566,0.26717557251908397,
30,දැල්ලා,Squids /Cuttle fish,783.33,445,1250,1041.25,-0.167,1.3398876404494382,0.32926097557861944,
31,කකුළුවා(L),Sea Crabs(L),520,,980,1112.5,0.13520408163265307,,1.1394230769230769,
32,තිලාපියා,Tilapia (M),320,365,475,420,-0.11578947368421053,0.1506849315068493,0.3125,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
*Data not available due to Covid,,,,,,,,,,
