"","Table 5.3:  Stocking of Post Larvae (Penaeus monodon)","","","","","","","","",""
"District","Area (Ha)","2010","2013","2014","2015","2016","2017","2018","2019","2020"
"","No. of Farms","777","779","1,055","1217","1300","1272","1096","1003","1035"
"","No. of Ponds","2,406","3,228","3,843","4404","4457","4427","3710","3071","2690"
"Puttalam","","","","","","","","","",""
"","Area (Ha)","1,202","1,574","1,936","2058","2298","2135","1800","1584","1268"
"","Stocking (Mn)","209.0","269.0","280.0","319.0","423.3","408.0","375.3","315.3","322.0"
"","No. of Farms","-","70","32","44","71","71","76","44","43"
"","No. of Ponds","-","183","172","164","165","174","192","132","151"
"Batticaloa","","","","","","","","","",""
"","Area (Ha)","37.94","147","133","106","106.43","110","121","87.15","101"
