Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 03rd week February 2019, compared to:",
Sinhala Name,,Common Name,3rd week February,2nd week February,3rd week February,Last week ,Last Year
1,තෝරා,Seer,1480,1506.67,1438.3,-0.04537821818978284,-0.028175675675675707
2,පරව් (ලොකු),Trevally (L),1034,933.33,1096.7,0.1750399108568245,0.06063829787234047
3,ගල්මාළු (ලොකු),Rock Fish (L),680,747,750,0.004016064257028112,0.10294117647058823
4,තලපත්,Sail fish,1075,1126.67,1106,-0.01834609956775282,0.02883720930232558
5,බලයා,Skipjack tuna,600,594.17,713.33,0.20054866452362133,0.1888833333333334
6,කෙළවල්ලා,Yellowfin tuna,882,982.22,960.67,-0.021940094887092573,0.08919501133786843
7,සාලයා (මට්ට),Sardinella,260,230,252.5,0.09782608695652174,-0.028846153846153848
8,මෝරා,Shark,775,847.5,890,0.05014749262536873,0.14838709677419354
9,හුරුල්ලා,Herrings,422,441.67,462.5,0.04716190821201346,0.09597156398104266
10,කුම්බලා,Indian mackerel,430,550,604,0.09818181818181818,0.4046511627906977
11,කාරල්ලා,Pony fish,170,170,230,0.35294117647058826,0.35294117647058826
12,කටුවල්ලා,Katuwalla,333,180,250,0.3888888888888889,-0.24924924924924924
13,හාල්මැස්සා,Anchovies,293,440,373.33,-0.1515227272727273,0.27416382252559723
14,ඉස්සා (M),Prawns (M),1108,1066.67,1033.3,-0.03128427723663375,-0.06741877256317694
15, කොප්පරා,Marlins,790,960,960,0,0.21518987341772153
16,අලගොඩුවා,Frigate tuna,340,340,365,0.07352941176470588,0.07352941176470588
17,ඇටවල්ලා,Kawakawa,360,386.67,386.67,0,0.07408333333333338
18,ඇටිස්සා,Red Bream,480,660,670,0.015151515151515152,0.3958333333333333
19,බෝල්ලා,Big eye scade,338,457,407.5,-0.10831509846827134,0.20562130177514792
20,ගින්නටි පරව්,Ginnati paraw,680,800,625,-0.21875,-0.08088235294117647
21,හබරලි,Needle fish,490,400,525,0.3125,0.07142857142857142
22,හැඩැල්ලා,Indian Anchovy,785,850,853.33,0.003917647058823578,0.0870445859872612
23,ජීලාවා,Barracuda,673,688.67,1045.8,0.5185792905165029,0.5539375928677562
24,ලින්නා,Indian Scade,308,327.5,332.5,0.015267175572519083,0.07954545454545454
25,ලේන පරව්,Rainbow runner,360,446.67,446.67,0,0.24075000000000005
26,සුද්දා,Threadfin bream,530,588,610,0.03741496598639456,0.1509433962264151
27,සූඩයා,White Sardinella,140,160,160,0,0.14285714285714285
28,දැල්ලා,Cuttle fish,800,786.67,814.44,0.03530069787839894,0.01805000000000007
29,කකුළුවා,Sea Crabs,767,800,800,0,0.04302477183833116
30,තිලාපියා,Thilapia (M),,450,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
