Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:1st week of Dec. 2025,, ,,,, ,,
Sinhala Name,,Common Name,1st  week of Dec.,4th  week of Nov.,1st  week of Dec.,Last week ,Last Year,, , ,, ,,
1,තෝරා,Seer,3860,3490,4120,0.18051575931232092,0.06735751295336788,,, , , ,,
2,පරව් (ලොකු),Trevally (L),2680,2660,2760,0.03759398496240601,0.029850746268656716, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2350,2340,2390,0.021367521367521368,0.01702127659574468,, ,, ,,,
4,තලපත්,Sail fish,2930,3126.67,3256,0.041363495348085956,0.11126279863481228,,, , , ,,
5,බලයා,Skipjack tuna,1313.33,1800,1800,0,0.37056185421790416,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2463.33,2860,2836,-0.008391608391608392,0.15128707887290785,,, , , ,, 
7,සාලයා (මට්ට),Sardinella,696.67,720,895,0.24305555555555555,0.28468284840742397,,, , ,, ,
8,මෝරා,Shark,1960,2090,2260,0.08133971291866028,0.15306122448979592,,,,,,,
9,හුරුල්ලා,Herrings,1135,1133.33,,,,, ,,,,,
10,කුම්බලා,Indian mackerel,1105,980,1080,0.10204081632653061,-0.02262443438914027,,,,,,, 
11,කාරල්ලා,Pony fish,480,,460,,-0.041666666666666664,,, ,, ,,
12,කටුවල්ලා,Katuwalla,,540,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,720,580,660,,-0.08333333333333333,,,, , ,,
14,ඉස්සා (M),Prawns (M),2196.67,2073.333,2293.33,0.10610789487265183,0.0440029681290316,, , ,,,,
15, කොප්පරා,Marlins,3495,3690,3890,0.05420054200542006,0.11301859799713877,,,,,, ,
16,අලගොඩුවා,Frigate tuna,1160,1180,1310,0.11016949152542373,0.12931034482758622,,, , ,,,
17,ඇටවල්ලා,Kawakawa,1185,1310,1390,0.061068702290076333,0.1729957805907173,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1980,2000,,,,,,,, ,,
19,බෝල්ලා,Big eye scade,1180,904,1050,0.16150442477876106,-0.11016949152542373,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1305,1406.67,1450,0.03080324454207449,0.1111111111111111,,, ,,, ,
21,හබරලි,Needle fish,1350,1260,1235,-0.01984126984126984,-0.2222222222222222,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,2100,2300,2320,0.008695652173913044,0.10476190476190476,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2240,2470,2593.33,0.049931174089068796,0.15773660714285712,,,, ,,,
24,ලින්නා,Indian Scade,1220,963.33,1003.33,0.04152263502641877,-0.17759836065573767,,, ,,,,
25,ලේන පරව්,Rainbow runner,1126.67,1005,1165,0.15920398009950248,0.03402060940648098,,,,,,,
26,සුද්දා,Threadfin bream,1240,1105,1193.33,0.07993665158371034,-0.03763709677419361,,,,,,,
27,සූඩයා,White Sardinella,438,380,540,0.42105263157894735,0.2328767123287671,,,,, ,,
28,දැල්ලා,Cuttle fish,2280,2280,2370,0.039473684210526314,0.039473684210526314,,,,,,,
29,කකුළුවා,Sea Crabs(L),2470,3100,3070,-0.00967741935483871,0.242914979757085,,,,,,,
30,තිලාපියා,Thilapia (M),926.67,1010,1030,0.019801980198019802,0.11150679314103192,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,, , ,,,, ,,
