Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,Compared to Average of 3rd week of June 2024,,, ,,,,,,,
Sinhala Name,,Common Name,Average of 3rd  week of  June,Average of 2nd  week of  June,Average of 3rd  week of  June,Last week ,Last Year,,, ,,,,,,
1,තෝරා,Seer,4258,4325,3490,-0.1930635838150289,-0.18036636918741192,,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2852,3015,2420,-0.19734660033167495,-0.1514726507713885,, , , ,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2760,2293.3,2160,-0.058125844852396184,-0.21739130434782608,,, ,,,,,,
4,තලපත්,Sail fish,3386.67,3306.67,3006.67,-0.09072571499423891,-0.11220461397183663,,,,,,,,,
5,බලයා,Skipjack tuna,1920,1810,1620,-0.10497237569060773,-0.15625,,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,3022,2593.33,2263.33,-0.12724952088627364,-0.25104897418927863,,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,740,706.67,712,0.007542417252748866,-0.03783783783783784,,,,, ,,, ,
8,මෝරා,Shark,,1990,1984,-0.003015075376884422,,,,,,,,,,
9,හුරුල්ලා,Herrings,1256.67,1220,1006.67,-0.17486065573770496,-0.19893846435420603,,,,,,,,,
10,කුම්බලා,Indian mackerel,1555,1320,1246.67,-0.05555303030303025,-0.19828295819935687,,,,,,,,,
11,කාරල්ලා,Pony fish,720,,,, ,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,720,680,-0.05555555555555555, ,,,,,,,,,
13,හාල්මැස්සා,Anchovies,880,,,,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1890,1995,1880,-0.05764411027568922,-0.005291005291005291,,,,,,,,,
15, කොප්පරා,Marlins,3880,3880,3530,-0.09020618556701031,-0.09020618556701031,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1420,1066.67,920,-0.13750269530407724,-0.352112676056338,,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1446.67,1220,1010,-0.1721311475409836,-0.30184492662459306,,,,,,,,,
18,ඇටිස්සා,Red Bream(L),,1893.33,1810,-0.04401240143028417,,,,, ,,,,,
19,බෝල්ලා,Big eye scade,1540,1360,1240,-0.08823529411764706,-0.19480519480519481,,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1830,1710,1573.33,-0.07992397660818717,-0.14025683060109292,,,,,,,, ,
21,හබරලි,Needle fish,1526.67,1310,1240,-0.05343511450381679,-0.18777469918187956,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,2216.67,1530,1553.33,0.015248366013071848,-0.29925067781852965,,,,,,,,,
23,ජීලාවා,Barracuda,2920,2730,2290,-0.16117216117216118,-0.21575342465753425,,,,,,,,,
24,ලින්නා,Indian Scade,1374,1092,904,-0.17216117216117216,-0.3420669577874818,,,,,,,,,
25,ලේන පරව්,Rainbow runner,1340,1230,1105,-0.1016260162601626,-0.17537313432835822,,,,,,,,,
26,සුද්දා,Threadfin bream,1770,1680,1493.33,-0.11111309523809527,-0.15631073446327687,,,,,,,,,
27,සූඩයා,White Sardinella,540,480,490,0.020833333333333332,-0.09259259259259259,,,,,,,,,
28,දැල්ලා,Cuttle fish,1975,1970,2095,0.06345177664974619,0.060759493670886074,,,,D,,,,,
29,කකුළුවා,Sea Crabs(L),2765,2810,2840,0.010676156583629894,0.027124773960216998,,,,,,,,,
