Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 4th week August 2019, compared to:",
Sinhala Name,,Common Name,4th week August,3rd week August,4th week August,Last week ,Last Year
1,තෝරා,Seer (Nl),1583.33,1540,1491.67,-0.03138311688311684,-0.05789064819083821
2,පරව් (ලොකු),Trevally (L),614,633.33,630,-0.005257922410118012,0.026058631921824105
3,ගල්මාළු (ලොකු),Rock fish (L),475,350,425,0.21428571428571427,-0.10526315789473684
4,තලපත්,Sail fish,586.67,724.29,754.17,0.04125419376216708,0.28550974142192376
5,බලයා,Skipjack tuna,336.67,416,362.86,-0.1277403846153846,0.07779130899694062
6,කෙළවල්ලා,Yellowfin tuna,728,658.33,619.17,-0.05948384548782538,-0.1494917582417583
7,සාලයා (මට්ට),Sardinella,221.67,251.43,270,0.07385753490036985,0.21802679658952503
8,මෝරා,Sharks,588.33,587.5,600.83,0.02268936170212773,0.02124657930073258
9,හුරුල්ලා,Herrings,284,390,364.17,-0.06623076923076919,0.28228873239436625
10,කුම්බලා,Indian Mackerel,483.33,531.43,530.83,-0.001129029223039552,0.0982765398382059
11,කාරල්ලා,Pony fish,158,150,160,0.06666666666666667,0.012658227848101266
12,කටුවල්ලා,Katuwalla,180,­,­,­,­
13,හාල්මැස්සා,Anchovy,312,320,315,-0.015625,0.009615384615384616
14,ඉස්සා (M),"Prawns (M) 3""",1000,914.29,963.33,0.05363724857539739,-0.03666999999999996
15, කොප්පරා,Marlins,786.67,888,911,0.0259009009009009,0.1580459404833031
16,අලගොඩුවා,Frigate tuna,284,395,375,-0.05063291139240506,0.3204225352112676
17,ඇටවල්ලා,Atawalla,390,445,380,-0.14606741573033707,-0.02564102564102564
18,ඇටිස්සා,Red Bream,750,650,680,0.046153846153846156,-0.09333333333333334
19,බෝල්ලා,Big eye scade,408.33,380,414.29,0.09023684210526321,0.01459603751867371
20,ගින්නටි පරව්,Ginnati Paraw,562,724.17,750,0.03566842039852527,0.33451957295373663
21,හබරලි,Needle fish,466.67,564.29,581,0.029612433323291283,0.24499110720637707
22,හැඩැල්ලා,Indian Anchovies,654.17,654.29,583.33,-0.10845343807791641,-0.10828989406423395
23,ජීලාවා,Barracuda,650,680,700,0.029411764705882353,0.07692307692307693
24,ලින්නා,Indian Scad,285.83,371.67,277.86,-0.2524013237549439,-0.027883707098624956
25,ලේන පරව්,Rainbow Runner,312.5,471.43,375.83,-0.20278726428101737,0.20265599999999995
26,සුද්දා,Threadfin  Bream,493.33,383.33,451.67,0.17827981112879251,-0.08444651653051703
27,සූඩයා,White Sardinella,150,158,177,0.12025316455696203,0.18
28,දැල්ලා,Squids /Cuttle fish,824.17,907.14,925,0.019688250986617296,0.12234126454493617
29,කකුළුවා,Sea Crabs,525,590,600,0.01694915254237288,0.14285714285714285
30,තිලාපියා,Tilapia (M),350,326.67,346.67,0.0612238650626014,-0.00951428571428567
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
