"","Table 6.2 : Export Quantity of Fish and Fishery Products ( Mt)","","","","","","","","","","","","","",""
"Exported Item","1983","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Shrimps","1,720","1,855","2,781","4,855","1,800","1,262","1,380","1,078","1,625","2,001","1,341","1,667","1,845","1,984","2,115"
"Lobsters","207","165","283","164","183","166","199","119","340","301","204","175","224","231","229"
"Crabs","na","na","898","554","1,012","1,848","2,104","1,557","1,861","1,872","1,710","2,117","1,819","1,401","1,818"
"Beche de Mer","56","36","248","87","258","178","272","255","259","165","169","136","150","248","503"
"Ornamental Fish","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"Chank & Shells","144","na","746","698","546","617","413","325","286","343","289","297","355","329","275"
"Shark Fins","57","51","127","119","74","69","91","56","34","32","39","36","53","86","91"
"Molluscs","na","1","51","15","300","496","1,023","1,642","2,064","2,431","1,371","1,568","3,153","3,672","2,590"
"Fish Maws","na","na","1","1","1","1","4","2","3","2","2","1","7","5","4"
"Food Fish","209","821","1,978","11,873","10,960","13,372","12,594","13,228","16,919","18,658","11,807","11,101","16,250","18,031","19,885"
"Others","-","-","12","188","851","316","382","369","519","515","529","495","971","2,011","1,261"
"Export Quantity","2,393","2,931","7,126","18,554","15,985","18,325","18,462","18,631","23,910","26,320","17,461","17,593","24,827","27,998","28,771"
"Source :  Custom Returns/ Statistics Unit - Ministry of Fisheries","","","","","","","","","","","","","","",""
