"","Table 5.3:  Stocking of Post Larvae (Penaeus monodon)","","","","","","","","","",""
"District","Area (Ha)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","No. of Farms","777","925","789","779","1,055","1217","1300","1272","1096","1003"
"","No. of Ponds","2,406","3,088","2,741","3,228","3,843","4404","4457","4427","3710","3071"
"Puttalam","","","","","","","","","","",""
"","Area (Ha)","1,202","1,590.69","1,431","1,574","1,936","2058","2298","2135","1800","1584"
"","Stocking (Mn)","209.00","264.00","218.00","269.00","280.00","319.00","423.33","408.00","375.26","315.34"
"","No. of Farms","-","-","36","70","32","44","71","71","76","44"
"","No. of Ponds","-","-","137","183","172","164","165","174","192","132"
"Batticaloa","","","","","","","","","","",""
"","Area (Ha)","37.94","51.53","101","147","133","106","106.43","110","121","87.15"
