"Source of Production","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Freshwater prawns (Macrobrachium","","","","","","","","","",""
"rosenbergii)","","","","","","","","","",""
"Aquaculture Centres","","","","","","","","","",""
"Pambala","1.77","2.51","2.43","2.36","1.53","1.78","2.40","2.73","6.46","9.51"
"Kahandamodara","11.27","9.69","14.32","17.94","9.08","19.94","24.84","38.63","44.65","37.09"
"Kallar","","","","","","","","","","3.36"
"Sub-total","13.04","12.20","16.75","20.30","10.61","21.72","27.24","41.36","51.11","49.96"
"Other","","","","","","","","","",""
"Private hatcheries","","","","","","2.00","12.60","19.04","22.65","15.95"
"Total","13.04","12.20","16.75","20.30","10.61","23.72","39.84","60.40","73.76","65.91"
